home_team,away_team,datetime,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,player_id,player,squad,start
São Paulo,Fluminense,1622332800,br BRA,30-161,90,5,0,4,100.0,1.2,3,8,37.5,32,5,25.0,31.4,5,0.0,23.6,12,0,0.0,0,5.0,fba79ac8,Tiago Volpi,São Paulo,True
Atlético Goianiense,São Paulo,1622930400,br BRA,36-123,90,3,0,3,100.0,0.3,1,9,11.1,15,2,26.7,33.5,11,45.5,42.1,33,1,3.0,0,7.8,f1f06658,Fernando Miguel,Atlético Goianiense,True
Fluminense,Cuiabá,1622988000,br BRA,25-054,90,4,0,4,100.0,0.9,8,18,44.4,18,4,61.1,43.0,9,77.8,51.0,10,0,0.0,2,17.7,453bdfb9,Marcos Felipe,Fluminense,True
América (MG),Corinthians,1623006000,br BRA,34-314,90,4,1,3,100.0,1.2,6,10,60.0,25,3,40.0,32.0,2,0.0,21.0,8,1,12.5,2,21.3,8470f026,Matheus Cavichioli,América (MG),True
Fortaleza,Internacional,1623006000,br BRA,33-016,90,3,1,2,66.7,0.5,2,8,25.0,28,5,28.6,33.8,3,0.0,19.0,15,1,6.7,0,6.3,7fbe8689,Felipe Alves Raymundo,Fortaleza,True
Juventude,Athletico Paranaense,1623014100,br BRA,31-120,90,5,3,2,40.0,1.7,1,4,25.0,23,2,17.4,23.2,11,0.0,19.3,7,1,14.3,0,12.0,a24d3330,Marcelo Carné,Juventude,True
Palmeiras,Chapecoense,1623014100,br BRA,39-321,90,4,1,3,75.0,1.0,2,6,33.3,21,3,28.6,33.4,4,0.0,19.0,10,2,20.0,0,4.0,01f7b8c3,Jailson,Palmeiras,True
Sport Recife,Atlético Mineiro,1623022200,br BRA,24-290,90,1,1,0,0.0,0.1,1,2,50.0,20,4,10.0,22.9,9,0.0,18.6,14,1,7.1,2,21.8,c573e883,Mailson,Sport Recife,True
Bragantino,Bahia,1622937600,br BRA,36-221,90,3,3,0,0.0,1.5,3,6,50.0,17,3,23.5,32.4,3,66.7,42.7,5,0,0.0,3,28.5,c369ad04,Júlio César,Bragantino,True
Santos,Ceará,1622937600,br BRA,25-112,90,3,1,2,100.0,1.1,1,8,12.5,39,4,17.9,29.3,3,33.3,40.3,11,0,0.0,0,10.0,33a235af,John,Santos,True
Palmeiras,Corinthians,1623535200,br BRA,39-327,90,4,1,3,75.0,1.6,8,15,53.3,25,2,56.0,39.0,5,20.0,25.2,9,2,22.2,0,9.4,01f7b8c3,Jailson,Palmeiras,True
Santos,Juventude,1623535200,br BRA,25-119,90,0,0,0,,0.0,0,3,0.0,22,3,13.6,26.2,3,0.0,12.7,4,0,0.0,2,21.3,33a235af,John,Santos,True
Flamengo,América (MG),1623610800,br BRA,35-354,90,1,0,1,100.0,0.0,1,2,50.0,31,5,3.2,23.0,5,20.0,28.6,6,0,0.0,1,24.0,12421a7c,Diego Alves,Flamengo,True
Atlético Mineiro,São Paulo,1623610800,br BRA,30-326,90,0,0,0,,0.0,6,13,46.2,43,1,30.2,34.8,1,0.0,14.0,16,0,0.0,3,37.3,a59c090b,Éverson,Atlético Mineiro,True
Grêmio,Athletico Paranaense,1623610800,br BRA,22-073,90,4,1,3,75.0,1.3,2,6,33.3,20,5,25.0,31.4,5,20.0,37.6,13,0,0.0,2,24.0,f002e8eb,Brenno,Grêmio,True
Chapecoense,Ceará,1623627000,br BRA,23-125,33,4,,4,,1.0,1,8,12.5,9,2,77.8,48.1,2,50.0,43.0,6,,,2,25.0,f6bbf30b,Tiepo,Chapecoense,True
Chapecoense,Ceará,1623627000,br BRA,20-097,57,2,0,2,100.0,1.0,1,7,14.3,7,1,42.9,34.0,4,100.0,72.8,12,0,0.0,0,10.0,83aa40cd,João Paulo,Chapecoense,True
Bragantino,Fluminense,1623627000,br BRA,23-298,90,4,2,2,75.0,2.0,3,14,21.4,28,8,39.3,39.1,6,50.0,42.3,17,0,0.0,1,9.0,d24ae824,Cleiton Schwengber,Bragantino,True
Bahia,Internacional,1623627000,br BRA,22-097,90,4,1,3,100.0,2.5,1,2,50.0,26,8,7.7,25.3,5,0.0,12.0,14,0,0.0,2,20.8,b7f90e05,Matheus Teixeira,Bahia,True
Fortaleza,Sport Recife,1623627000,br BRA,33-023,90,0,0,0,,0.0,0,7,0.0,25,6,24.0,28.8,5,20.0,27.8,12,1,8.3,0,9.3,7fbe8689,Felipe Alves Raymundo,Fortaleza,True
São Paulo,Chapecoense,1623880800,br BRA,30-179,90,2,1,1,50.0,1.2,9,17,52.9,30,1,46.7,39.8,7,42.9,37.4,5,0,0.0,1,40.0,fba79ac8,Tiago Volpi,São Paulo,True
Internacional,Atlético Mineiro,1623880800,br BRA,27-041,90,2,1,1,50.0,1.0,2,2,100.0,14,3,14.3,25.1,5,0.0,10.0,5,0,0.0,0,18.5,636fc976,Daniel,Internacional,True
Corinthians,Bragantino,1623886200,br BRA,34-010,90,5,2,3,60.0,0.8,6,17,35.3,18,2,66.7,44.1,11,45.5,35.7,28,1,3.6,0,5.7,d42f6326,Cássio,Corinthians,True
Ceará,Bahia,1623956400,br BRA,21-108,90,3,2,1,66.7,1.9,4,11,36.4,13,2,38.5,35.8,7,85.7,56.6,8,0,0.0,0,,0d9b2e53,Vinícius Machado,Ceará,True
América (MG),Cuiabá,1623956400,br BRA,25-094,90,3,0,3,100.0,0.6,4,13,30.8,21,4,52.4,42.5,6,33.3,33.8,7,2,28.6,0,3.3,9aecb45b,Jori,América (MG),True
Sport Recife,Grêmio,1623967200,br BRA,24-301,90,7,0,7,100.0,1.0,8,16,50.0,16,4,50.0,42.4,8,100.0,53.3,17,1,5.9,2,14.8,c573e883,Mailson,Sport Recife,True
Fluminense,Santos,1623967200,br BRA,25-065,90,8,0,8,100.0,1.6,3,19,15.8,16,3,62.5,44.8,9,100.0,66.3,14,1,7.1,0,8.5,453bdfb9,Marcos Felipe,Fluminense,True
Atlético Goianiense,Fortaleza,1623967200,br BRA,36-135,90,1,0,1,100.0,0.3,1,7,14.3,17,2,41.2,39.5,7,0.0,17.3,15,1,6.7,0,10.5,f1f06658,Fernando Miguel,Atlético Goianiense,True
Juventude,Palmeiras,1623889800,br BRA,31-130,90,5,3,3,40.0,1.3,4,11,36.4,27,5,37.0,36.7,8,12.5,20.5,15,0,0.0,0,,a24d3330,Marcelo Carné,Juventude,True
Palmeiras,América (MG),1624197600,br BRA,39-335,90,5,1,3,80.0,1.3,6,10,60.0,18,3,50.0,35.1,6,16.7,27.8,12,0,0.0,0,7.2,01f7b8c3,Jailson,Palmeiras,True
Bahia,Corinthians,1624215600,br BRA,22-104,90,3,0,3,100.0,0.4,1,2,50.0,19,4,10.5,21.7,9,0.0,5.9,14,0,0.0,0,4.0,b7f90e05,Matheus Teixeira,Bahia,True
Internacional,Ceará,1624215600,br BRA,27-045,90,2,1,1,50.0,0.6,4,12,33.3,29,5,27.6,32.0,10,40.0,37.0,14,1,7.1,3,15.8,636fc976,Daniel,Internacional,True
Santos,São Paulo,1624223700,br BRA,25-127,90,1,0,1,100.0,0.3,1,14,7.1,28,2,42.9,37.8,4,50.0,37.3,25,0,0.0,1,12.4,33a235af,John,Santos,True
Athletico Paranaense,Atlético Goianiense,1624223700,br BRA,31-095,90,3,1,2,66.7,0.7,7,13,53.8,24,8,33.3,35.0,7,71.4,51.9,8,1,12.5,2,15.7,b8d0b69c,Santos,Athletico Paranaense,True
Fortaleza,Fluminense,1624223700,br BRA,33-030,90,3,1,2,66.7,1.0,5,11,45.5,33,2,33.3,32.3,2,0.0,15.0,13,0,0.0,1,15.0,7fbe8689,Felipe Alves Raymundo,Fortaleza,True
Juventude,Sport Recife,1624231800,br BRA,31-134,90,2,0,2,100.0,0.7,2,9,22.2,25,5,28.0,28.5,11,18.2,20.5,24,0,0.0,1,12.7,a24d3330,Marcelo Carné,Juventude,True
Flamengo,Bragantino,1624147200,br BRA,35-360,90,4,3,1,25.0,1.5,3,4,75.0,12,0,25.0,28.2,3,33.3,33.3,11,0,0.0,0,8.0,12421a7c,Diego Alves,Flamengo,True
Atlético Mineiro,Chapecoense,1624316400,br BRA,30-334,90,1,1,0,100.0,1.0,6,10,60.0,34,3,29.4,29.9,1,0.0,25.0,15,0,0.0,1,13.0,a59c090b,Éverson,Atlético Mineiro,True
